source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
4657118530443929728,84.87097856591599,-70.64001410880059,RRab,0.5350592830259446,0.35156083,0.028627533,0.13694957,0.02851275,0.13481897,0.032036435,3.9066925,0.21863857,1.7858034,0.28780058,-1.6609238247939926,0.45597806976794597,0.177541,0.051593326,18.59414567826232,0.8774465319833982
4657784280414588928,84.87394434657047,-68.8252860706915,RRab,0.5907214990803521,0.3376801,0.037822675,0.18702368,0.05332695,0.122817226,0.046043616,4.0834765,0.21436036,1.9790354,0.4790933,-1.7882110438959544,0.5832219099474781,0.227617,0.13353565,18.58754321069087,0.9843046497781021
4657826852119593984,84.87556163371181,-68.29391873463291,RRab,0.5433664214302251,0.2829068,0.0150808655,0.15485078,0.015507821,0.11397242,0.013505761,3.9127672,0.14306274,2.0644827,0.2241078,-1.445069900937749,0.4424554580323461,0.080424,0.048558425,18.62408557418257,0.8090565027169255
4659333943237405952,84.87689548039745,-67.99909398913182,RRab,0.58894395557339,0.3708153,0.038751137,0.17343627,0.041835096,0.12990433,0.046281848,3.727863,0.30939797,1.9176972,0.32305032,-1.836003585432314,0.4733545302438819,0.089529,0.041729894,18.535138555481048,0.947670879294395
4657062627137021440,84.87733032491454,-70.8534357876331,RRab,0.5914393004875049,0.24528028,0.009805415,0.11778795,0.011992086,0.08096431,0.0092211915,4.150283,0.1580364,1.4805118,0.37301636,-2.2608070257056525,0.5185170486404699,0.170713,0.06221548,18.517267555997584,1.0536377219903306
4657829944478007424,84.8778517154382,-68.17570876633255,RRab,0.6904093985231816,0.21818125,0.007903591,0.114029676,0.011047945,0.04977937,0.012731816,4.093196,0.11045684,2.1918154,0.23020661,-2.1414656858036585,0.4551272212218176,0.069044,0.03945372,18.511175688025023,1.017290427626525
4657250776807857920,84.88112929073772,-70.04371335511088,RRab,0.519435475891898,0.36744857,0.02153353,0.20779489,0.026368583,0.099657536,0.017207103,3.9781322,0.19041164,2.3635056,0.30939397,-1.0311716272000342,0.48516754059816736,0.199544,0.13960546,18.96889341429601,0.7883813584350804
4657638492089894528,84.89000142529886,-69.67571258288919,RRab,0.6030425090090394,0.17768478,0.013334212,0.09398144,0.013504206,0.04699544,0.015163851,4.534634,0.3623898,3.275591,0.39557204,-0.6378303850001691,0.6019669124644743,0.241274,0.11987861,18.269413488400048,0.7123348890720174
4651009953020549888,84.89152713578368,-71.61331119926787,RRab,0.3756546499016007,0.41755626,0.015937394,0.18462703,0.021035835,0.11004082,0.023275811,3.8634422,0.1368364,1.8972683,0.29015455,-0.6714511049538839,0.4566233921243146,0.094081,0.037936267,18.951768148347085,0.6401549428159112
4657684607115394944,84.8920636969189,-69.01879506135538,RRab,0.559057271915238,0.3069879,0.028012708,0.13566504,0.026778553,0.11328507,0.02624378,4.2670937,0.2352218,1.8583679,0.27382904,-1.7259020331295711,0.4649058005761249,0.237481,0.18057664,18.46501729779628,1.0191303511869019
4657029538702558080,84.89687307326133,-71.13995583362578,RRab,0.5580321619296418,0.27882043,0.013737976,0.1419484,0.014952617,0.11608472,0.021332778,4.0592976,0.09288037,1.9165169,0.19387192,-1.665552612709512,0.41352407365821103,0.138088,0.08649469,18.433615323558666,0.9018705715441212
4657035616083280000,84.897685626938,-71.08519047227794,RRab,0.5190914440266037,0.3384927,0.014587602,0.12783791,0.013979961,0.101376824,0.021757096,3.8127894,0.12766929,1.8770767,0.2575275,-1.4865054163476503,0.44315493688434654,0.150227,0.09635812,18.875505824657345,0.8586841850353374
4657215145840047872,84.89839942666154,-70.48126812609026,RRab,0.5449680040703053,0.33976427,0.034649838,0.19358929,0.027654981,0.17577316,0.03239609,4.2139606,0.14243622,2.0442085,0.28968522,-1.4730164325901949,0.47896583143450777,0.185128,0.10015175,18.39832006228525,0.8609498479250829
4657252288636222464,84.9010730052039,-70.02365895798272,RRab,0.49788733838472,0.30900607,0.022607988,0.12621066,0.03433768,0.10525729,0.031813424,3.62764,0.31098595,1.9711981,0.4298067,-1.2803485140351958,0.5703951190069475,0.215478,0.15098634,18.137322935929856,0.8657264602495668
4657826203580013440,84.90965111191755,-68.35979474136136,RRab,0.5924615141637541,0.26199713,0.024899991,0.09625765,0.016764313,0.105011724,0.023923935,3.8084333,0.15176755,1.7625017,0.19719672,-2.0014098056088354,0.4247021137083608,0.074355,0.046282247,18.501975364290477,0.976761090777363
4650985381503156608,84.91234226705946,-71.76024499987233,RRab,0.5564426269381274,0.3283924,0.023360128,0.16724576,0.035672113,0.13717346,0.036945138,4.1322713,0.21883455,2.1704721,0.42895487,-1.4180128055066072,0.5490755660171277,0.116084,0.051593326,18.47729877586185,0.823167856813844
4659342803772688128,84.91338104137797,-67.80697424345674,RRab,0.5957658832074116,0.21592262,0.01754128,0.1141673,0.010545747,0.083341286,0.019364918,3.883639,0.18488179,1.8503418,0.21118046,-1.9371793598011344,0.4300462383738908,0.091805,0.0508346,18.578054928584315,0.9479273304436853
4657029500154510720,84.91755594166507,-71.13320521073912,RRab,0.3913231973042773,0.43976203,0.029174745,0.20456618,0.04665237,0.21862364,0.037529353,4.337659,0.22013289,2.2410188,0.3908979,-0.435286073038739,0.5090454585810427,0.138846,0.08649469,18.541851702610845,0.6560823601632408
4657820289390255232,84.92092252285815,-68.39251409635526,RRab,0.5936974122732529,0.2816886,0.01486005,0.14531441,0.013435396,0.11519694,0.019135477,4.0869584,0.20959044,1.9259037,0.16486527,-1.8546711601165533,0.43074437584224,0.084218,0.050075874,18.597234128512635,0.9290668474220413
4657784696996863232,84.92233156490859,-68.80836882930055,RRab,0.6538929641616015,0.35244545,0.013801831,0.16775566,0.012325294,0.10724426,0.013753017,4.073092,0.070539385,1.955973,0.12662637,-2.160491331096888,0.41967564360408205,0.221547,0.08573596,18.30225630790713,1.029098440742313
4650983221168597760,84.93111988116617,-71.85346838031361,RRab,0.5119699243222917,0.34493667,0.07108931,0.16210479,0.04082768,0.12936167,0.049447544,3.9054337,0.4268258,1.9347522,0.48743293,-1.3927660119887193,0.5909171670363853,0.110773,0.03945372,18.44614235095684,0.8012676427746157
4657037780711998848,84.93297491930984,-71.00662808805309,RRab,0.584192217901721,0.27002558,0.019397337,0.13844623,0.013299299,0.08277313,0.011244832,4.4050465,0.12917311,2.4237857,0.19492522,-1.333908251354552,0.43637669969229304,0.119119,0.049317144,18.470337692299275,0.7973928601484934
4657791294066540544,84.93584344197814,-68.71503327969714,RRab,0.7283180964526828,0.17886959,0.008258622,0.051581338,0.007936929,0.026257088,0.024699515,4.348483,0.277733,2.7859995,0.22022356,-1.7933259053123898,0.4918338099409076,0.165402,0.053110775,18.704159544727467,0.9209148276753811
4650974356322446976,84.93664231097648,-72.05089442234583,RRab,0.5320682057848132,0.35621756,0.015738163,0.15043981,0.020990996,0.12604567,0.022945933,3.8259583,0.14334846,1.5051458,0.30236092,-1.908141490105713,0.48407325598636874,0.097875,0.035660088,18.6288646956896,0.9455482365423644
4657781772117719936,84.93931588712485,-68.79830887491418,RRab,0.5494681966148429,0.34975734,0.021065673,0.14796862,0.028986314,0.12217012,0.025774159,3.789457,0.22542985,2.1856139,0.28740707,-1.3650714252123786,0.48600853443368175,0.221547,0.08573596,18.17957573425947,0.8218073432814414
4657062554213384320,84.93980852535073,-70.84635347602195,RRab,0.5868861848411958,0.24765839,0.011922125,0.12686802,0.015991533,0.08904161,0.015417157,4.3245573,0.16739729,2.535255,0.24690063,-1.244078625868637,0.47774848080142146,0.176783,0.08118361,18.41989898724322,0.7773434171192046
4657787961187990016,84.94966891770166,-68.73654379877705,RRab,0.6267314822287618,0.2861403,0.013647628,0.09794804,0.013401271,0.07108035,0.02217745,4.0274215,0.2902735,2.3890269,0.27559593,-1.6026744403696285,0.49372877147107846,0.165402,0.053110775,18.081967134543497,0.8617211686189878
4657637740399498240,84.9498572675594,-69.68763794068649,RRab,0.4729571030238688,0.43734592,0.07677052,0.14596437,0.051935367,0.13699213,0.061761845,3.8717828,0.42980808,2.5219357,0.6918962,-0.6242923637824721,0.7375390687253898,0.241274,0.11987861,18.02109684245909,0.7361162395234532
4657037609047829888,84.95249962172653,-71.02122473441662,RRab,0.577242383819326,0.3133734,0.039183725,0.22289394,0.035128046,0.17447191,0.046560485,4.1180196,0.23564298,1.1089517,0.38895202,-2.53128063219726,0.4927921412191205,0.119119,0.049317144,18.820043958935237,1.1355166712309201
