object_id,period,type,band,mean_mag,err_mag,chi_squared,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
465110964,0.675300,RRab,i,19.003828,0.047110,0.130558,-1.700235,0.455482,0.067526,0.028073,18.353779,0.885840
465114477,0.491335,RRab,i,18.935056,1.023135,0.403533,-2.259130,0.466616,0.054628,0.030349,18.565514,1.058654
465114656,0.543741,RRab,i,19.217875,1.622668,0.227031,-1.977994,0.408277,0.057663,0.021244,18.576974,0.962605
465115553,0.652823,RRab,i,19.010411,0.033659,0.013215,-1.564701,0.454045,0.056904,0.025797,18.449127,0.828492
465117672,0.486640,RRab,i,19.051217,0.959390,0.457538,-2.017119,0.597586,0.053869,0.026555,18.726865,0.994806
465118528,0.545343,RRab,i,19.460102,0.103874,0.271243,-1.722878,0.382032,0.074355,0.044006,18.612581,0.902119
465119031,0.555046,RRab,i,19.013837,0.073127,0.097867,-1.461863,0.490295,0.065250,0.042489,18.469578,0.831653
465119910,0.480148,RRab,i,19.395079,0.613007,0.752794,-1.425154,0.395072,0.072078,0.034901,18.574892,0.803498
465120345,0.497157,RRab,i,19.142609,0.030312,2.783402,-1.355517,0.440286,0.062215,0.030349,18.470961,0.803861
465120405,0.724405,RRab,i,18.781224,0.022032,1.135143,-1.998181,0.508351,0.069044,0.030349,18.347220,0.971643
465121615,0.621599,RRab,i,18.773581,0.059955,1.698914,-1.496087,0.686206,0.072837,0.026555,18.499209,0.838123
465122521,0.537469,RRab,i,18.925695,0.520020,1.582740,-1.847213,0.461562,0.058421,0.034143,18.604538,0.921567
465126591,0.715465,RRab,i,18.894606,0.014484,2.957784,-2.295420,0.458084,0.051593,0.032625,18.469119,1.065072
465127163,0.559524,RRab,i,19.174353,0.045211,0.740558,-1.306497,0.527748,0.058421,0.031866,18.419896,0.785221
465131824,0.687235,RRab,i,18.633259,1.184169,0.849885,-1.678424,0.491191,0.050834,0.034901,18.379498,0.873513
465132677,0.382767,RRc,i,19.206974,0.054247,0.422464,-1.879156,0.356501,0.066767,0.033384,18.538181,0.919531
465138332,0.638576,RRab,i,19.060223,0.187701,4.623483,-1.290114,0.473161,0.050075,0.027314,18.414255,0.781484
465139334,0.569000,RRab,i,18.787906,0.044119,3.546217,-1.644767,0.379372,0.052352,0.024279,18.456796,0.851092
465139771,0.535520,RRab,i,19.315809,0.043289,2.625573,-1.674115,0.379622,0.049317,0.028073,18.464094,0.854499
465140099,0.494644,RRab,i,19.013792,0.058250,0.373650,-1.815928,0.375218,0.045523,0.029590,18.420625,0.896930
465145179,0.489092,RRab,i,18.974232,0.063384,294.458326,-1.079391,0.380994,0.049317,0.023520,18.453915,0.715883
465145940,0.362439,RRc,i,18.980077,0.034452,1.967565,-1.744588,0.349676,0.050075,0.027314,18.403986,0.880635
465148857,0.690394,RRab,i,19.023417,0.056128,7.466643,-1.704232,0.472974,0.051593,0.024279,18.390696,0.898653
465150276,0.308772,RRc,i,19.186265,0.036221,1.231134,-1.816015,0.343765,0.050075,0.031108,18.653735,0.898563
465151598,0.307909,RRc,i,19.191923,0.016650,3.679247,-1.345207,0.338784,0.047799,0.030349,18.447968,0.764491
465151733,0.676817,RRab,i,18.931231,0.032956,18.555866,-2.019145,0.420049,0.047040,0.025797,18.482845,0.982861
465151957,0.594562,RRab,i,18.994018,0.034843,4.482253,-1.408752,0.411200,0.047799,0.030349,18.352836,0.790069
465153830,0.582631,RRab,i,18.940234,2.674783,2.849826,-1.777732,0.400348,0.048558,0.026555,18.410799,0.908536
465154042,0.725352,RRab,i,18.601117,2.007604,0.381258,-2.154409,0.439728,0.049317,0.029590,18.363140,1.034848
465154187,0.754860,RRab,i,18.854747,0.038435,0.310253,-2.188974,0.447204,0.046282,0.025797,18.375611,1.035924
465154427,0.721472,RRab,i,18.771406,0.064314,4.950027,-1.895266,0.447956,0.044006,0.035660,18.486353,0.946190
465156201,0.697379,RRab,i,18.794574,0.257683,1.191369,-1.840514,0.433793,0.049317,0.024279,18.380779,0.924016
465156933,0.339590,RRc,i,19.066950,0.013927,0.151198,-1.832405,0.329532,0.047040,0.034901,18.528054,0.909506
465157618,0.638241,RRab,i,18.858401,0.543747,0.864112,-1.216814,0.462792,0.044006,0.025797,18.401543,0.755886
465157861,0.343760,RRc,i,19.109819,0.015470,0.690796,-1.857402,0.329418,0.035660,0.023520,18.522848,0.897853
465158556,0.633680,RRab,i,18.755510,0.912716,1.361763,-1.501497,0.437879,0.051593,0.024279,18.454348,0.818257
465160398,0.631296,RRab,i,18.823661,0.173330,1.252456,-1.369826,0.416931,0.037936,0.025797,18.202824,0.782106
465160954,0.671272,RRab,i,18.786798,0.052715,0.180631,-2.034913,0.403894,0.038694,0.025038,18.373845,0.960634
465299176,0.623335,RRab,i,19.060175,0.417885,18.809923,-1.676367,0.413074,0.038694,0.024279,18.575976,0.868665
491821965,0.489018,RRab,i,19.143892,0.284505,0.361486,-1.771950,0.371010,0.144157,0.044765,18.720051,0.889244
491824097,0.563384,RRab,i,19.407596,0.092085,18.239484,-2.091508,0.470442,0.148710,0.040212,18.670874,1.008356
491830582,0.641621,RRab,i,19.097582,0.023306,2.316878,-2.107882,0.479230,0.090288,0.041730,18.468504,1.020826
491831233,0.343385,RRc,i,19.457449,0.126980,0.559940,-1.730193,0.340082,0.116084,0.034143,18.518694,0.875340
491832854,0.733189,RRab,i,18.797827,0.034509,1.478465,-1.696334,0.480851,0.158573,0.045524,18.279659,0.888072
491836900,0.610880,RRab,i,18.932880,0.199192,4.347401,-1.622791,0.446969,0.092564,0.031866,18.529706,0.887991
491837731,0.732431,RRab,i,19.090325,0.040861,0.040326,-1.926113,0.522516,0.083459,0.025797,18.697290,0.969446
